idhh,id,name_latin,id_cg,pop_t_2014,log_t_2014,log_hosp_1k_2014,log_hosp_2k_2014,log_hosp_2k+_2014,delegation,firms
TN247,TN1B7,Makthar,TS1246,29052,7346,27.36963444,31.5018393,41.12852625,2457,1477
TN248,TN1B8,Er Rouhia,TS1247,25951,5947,14.38689154,17.7703366,67.84277186,2458,779
TN249,TN1B9,Kesra,TS1248,16404,4501,13.90512936,9.950331502,76.14453914,2459,595
TN24A,TN1BA,Bargou,TS1249,12482,3676,26.204607,16.67269818,57.12269482,2460,531
TN24B,TN1BB,El Aroussa,TS124A,9907,2870,26.43268738,7.865294205,65.70201842,2461,306
TN311,TN211,Sousse Medina,TS2110,35288,15148,44.7340177,52.03189144,3.234090861,3151,14772
TN312,TN212,Sousse Riadh,TS2111,64532,20738,5.549382945,32.03710629,62.41351077,3152,4703
TN313,TN213,Sousse Jawhara,TS2112,86517,29674,22.10043616,63.97152034,13.92804349,3153,5183
TN314,TN214,Sousse Sidi Abedelhamid,TS2113,52787,15189,6.788246784,59.16122148,34.05053174,3154,697
TN315,TN215,Hammam Sousse,TS2114,42691,18598,3.671586469,38.44611813,57.8822954,3155,7731
TN316,TN216,Akouda,TS2115,34494,15250,5.618726281,6.360619945,88.02065377,3156,3570
TN317,TN217,Kalaâ Kebira,TS2116,59132,15342,11.42475525,47.42107687,41.15416788,3157,3776
TN318,TN218,Sid Bou Ali,TS2117,19543,5691,15.30051297,43.841998,40.85748903,3158,1183
TN319,TN219,Hergla,TS2118,9343,3566,9.606659746,7.098571292,83.29476896,3159,711
TN31A,TN21A,Enfidha,TS2119,49335,12320,14.05440437,21.80432976,64.14126587,3160,2845
TN31B,TN21B,Bouficha,TS211A,26760,7220,24.77799415,19.48036638,55.74163947,3161,1539
TN31C,TN21C,Kondar,TS211B,13565,2965,11.40752803,5.553678634,83.03879334,3162,814
TN31D,TN21D,Sidi El Hèni,TS211C,13505,3646,4.913982174,1.975097317,93.11092051,3163,613
TN31E,TN21E,Msaken,TS211D,97225,34095,25.37949532,39.77848237,34.84202231,3164,9043
TN31F,TN21F,Kalaâ Seghira,TS211E,37797,11329,10.81781705,55.59110755,33.59107539,3165,2605
TN31G,TN21G,Zaouia Ksiba Thrayet,TS211F,32304,8602,5.372910568,16.24809454,78.37899489,3166,2332
TN321,TN221,Monastir,TS2120,104535,37553,18.79902223,44.46130068,36.73967708,3251,10520
TN322,TN222,Werdanine,TS2121,21814,6312,28.53362239,55.32169504,16.14468258,3252,1258
TN323,TN223,Sahline,TS2122,27449,8234,31.34808244,59.55558965,9.096327916,3253,2446
TN324,TN224,Zarmdine,TS2123,29733,8410,3.149363744,32.06071601,64.78992024,3254,1651
TN325,TN225,Beni Hassen,TS2124,13869,4592,6.913312797,8.897263846,84.18942336,3255,975
TN326,TN226,Jammel,TS2125,65420,19108,14.07633666,51.32745851,34.59620483,3256,5804
TN327,TN227,Benbla,TS2126,32555,8295,6.323872484,62.82715155,30.84897597,3257,2350
TN328,TN228,Moknine,TS2127,89277,23092,20.31338188,43.51351726,36.17310086,3258,5023
TN329,TN229,Bekalta,TS2128,17850,6356,27.59881417,42.30855909,30.09262674,3259,1149
TN32A,TN22A,Teboulba,TS2129,37485,10507,34.07453707,50.77273016,15.15273277,3260,3043
TN32B,TN22B,Ksar Hlel,TS212A,49376,14340,22.24177816,62.92906982,14.82915202,3261,4572
TN32C,TN22C,Ksibet El Mediouni,TS212B,34576,9558,22.86808886,51.24078482,25.89112632,3262,2455
